Commune;nbr
Cogolin 83310; 1 890
Colmar 68000; 8 100
Colombelles 14460; 1 050
Colombes 92700; 10 180
Colomiers 31770; 4 640
Combourg 35270;  480
Combs-la-Ville 77380; 2 370
Comines 59560; 1 170
Commentry 03600;  780
Commercy 55200;  800
Compiègne 60200; 5 160
Concarneau 29900; 1 990
Conches-en-Ouche 27190;  540
Condat-sur-Vienne 87920;  430
Condé-sur-l'Escaut 59163; 1 560
Condé-sur-Noireau 14110;  580
Condom 32100;  850
Conflans-Sainte-Honorine 78700; 3 380
Contes 06390;  540
Corbas 69960;  950
Corbeil-Essonnes 91100; 7 290
Corbie 80800;  570
Cormeilles-en-Parisis 95240; 2 350
Cormelles-le-Royal 14123;  490
Cormontreuil 51350;  470
Cornebarrieu 31700; 1 060
Corte 20250;  400
Cosne-Cours-sur-Loire 58200; 1 040
Coublevie 38500;  330
Coubron 93470;  420
Coudekerque-Branche 59210; 2 340
Couëron 44220; 1 960
Coulaines 72190; 1 150
Coulogne 62137;  520
Coulommiers 77120; 1 760
Coulounieix-Chamiers 24660;  990
Courbevoie 92400; 7 160
Courcelles-lès-Lens 62970; 1 040
Courdimanche 95800;  700
Cournon-d'Auvergne 63800; 1 720
Cournonterral 34660;  880
Courrières 62710; 1 230
Coursan 11110;  820
Courthézon 84350;  680
Courtry 77181;  550
Coutances 50200;  970
Coutras 33230; 1 150
Couzeix 87270;  820
Cranves-Sales 74380;  620
Craponne 69290;  960
Crégy-lès-Meaux 77124;  480
Creil 60100; 5 860
Crépy-en-Valois 60800; 1 360
Crest 26400; 1 500
Créteil 94000; 10 810
Creutzwald 57150; 1 620
Croissy-sur-Seine 78290;  780
Croix 59170; 2 390
Crolles 38190;  590
Crosne 91560;  750
Crozon 29160;  750
Cruseilles 74350;  430
Cucq 62780;  390
Cuers 83390; 1 230
Cuges-les-Pins 13780;  640
Cugnaux 31270; 2 640
Cuincy 59553;  730
Cusset 03300; 1 550
Dainville 62000;  350
Dammarie-les-Lys 77190; 3 750
Dammartin-en-Goële 77230; 1 010
Dardilly 69570;  660
Darnétal 76160; 1 510
Dax 40100; 3 620
Decazeville 12300;  710
Dechy 59187;  800
Décines-Charpieu 69150; 3 410
Decize 58300;  510
Delle 90100;  860
Denain 59220; 4 320
Déols 36130;  780
Desvres 62240;  590
Deuil-la-Barre 95170; 2 440
Déville-lès-Rouen 76250; 1 720
Die 26150;  790
Dieppe 76200; 4 320
Digne-les-Bains 04000; 2 100
Digoin 71160;  860
Dijon 21000; 18 240
Dinan 22100; 1 860
Dinard 35800;  960
Dives-sur-Mer 14160;  560
Divion 62460; 1 070
Divonne-les-Bains 01220;  830
Dol-de-Bretagne 35120;  600
Dole 39100; 2 770
Dombasle-sur-Meurthe 54110;  830
Domène 38420;  520
Domérat 03410;  880
Domont 95330; 1 470
Dompierre-sur-Mer 17139;  520
Donges 44480;  810
Donzère 26290;  720
Douai 59500; 7 260
Douarnenez 29100; 2 010
Douchy-les-Mines 59282; 1 710
Doué-la-Fontaine 49700; 1 180
Doullens 80600;  850
Dourdan 91410;  970
Dourges 62119;  720
Douvaine 74140;  630
Douvres-la-Délivrande 14440;  390
Douvrin 62138;  600
Draguignan 83300; 5 120
Drancy 93700; 10 520
Drap 06340;  480
Draveil 91210; 2 430
Dreux 28100; 5 330
Drusenheim 67410;  370
Ducos 97224; 2 420
Dugny 93440; 1 730
Dunkerque 59140; 11 700
Eaubonne 95600; 2 220
