Commune;nbr_stud
Carignan-de-Bordeaux;507
Carmaux;463
Carnac;706
Carnoux-en-Provence;428
Carpentras;4343
Carquefou;2711
Carqueiranne;670
Carrières-sous-Poissy;965
Carrières-sur-Seine;2110
Carros;844
Carrouges;146
Carspach;155
Carvin;2362
Cassel;505
Casseneuil;575
Cassis;676
Castelginest;667
Casteljaloux;455
Castelmoron-sur-Lot;205
Castelnau-de-Médoc;714
Castelnau-le-Lez;2055
Castelnaudary;2124
Castelsarrasin;1154
Castillon-la-Bataille;413
Castillonnès;192
Castres;4780
Castries;754
Cattenom;369
Caudan;307
Caudebec-lès-Elbeuf;439
Caudry;1742
Cauffry;620
Caumont-sur-Aure;344
Caussade;1062
Cavaillon;2905
Cayenne;7611
Cazouls-lès-Béziers;711
Cazères;1250
Ceaucé;172
Celles-sur-Belle;529
Cenon;1350
Cercy-la-Tour;98
Cergy;6404
Cerisy-la-Salle;200
Cerizay;650
Cernay;744
Cerny;478
Cervione;333
Cesson;1084
Cesson-Sévigné;2806
Cessy;407
Cestas;890
Ceyrat;585
Ceyzériat;623
Chabanais;260
Chabeuil;939
Chablis;368
Chabris;196
Chagny;629
Chalabre;92
Chalais;180
Chalindrey;173
Challans;4277
Chalon-sur-Saône;6785
Chalonnes-sur-Loire;467
Chamalières;2248
Chambly;599
Chambon-sur-Voueize;183
Chambourcy;554
Chambray-lès-Tours;593
Chambéry;7830
Chamonix-Mont-Blanc;1034
Champagne-Mouton;129
Champagne-au-Mont-d'Or;650
Champagne-sur-Seine;923
Champagney;425
Champagnole;1270
Champagné;441
Champcueil;622
Champdeniers;276
Champeix;411
Champier;719
Champigneulles;484
Champigny-sur-Marne;5349
Champs-sur-Marne;2106
Changé;418
Chanteloup-les-Vignes;586
Chantilly;1767
Chantonnay;1607
Chaource;176
Chaponnay;701
Chaponost;642
Charbonnières-les-Bains;1393
Charenton-le-Pont;2447
Charleville-Mézières;6085
Charlieu;1694
Charly-sur-Marne;748
Charmes;548
Charnay-lès-Mâcon;82
Charny;134
Charny Orée de Puisaye;271
Charolles;935
Charroux;164
Chars;19
Chartres;7801
Chartres-de-Bretagne;617
Charvieu-Chavagneux;541
Chasseneuil-sur-Bonnieure;398
Chassieu;625
Chatou;1186
Chatte;441
Chaudes-Aigues;114
Chauffailles;391
Chaulnes;352
Chaumont;2945
Chaumont-en-Vexin;854
Chauny;2561
Chaussin;356
Chauvigny;757
Chavanod;39
Chaville;1639
Chazay-d'Azergues;612
Chazelles-sur-Lyon;1376
Chef-Boutonne;228
Chelles;6433
Chemillé-en-Anjou;1495
Chennevières-sur-Marne;2149
Chenôve;630
Cherbourg-en-Cotentin;6997
Chessy;549
Chevigny-Saint-Sauveur;1428
Chevillon;259
Chevilly-Larue;1469
Chevreuse;755
Chiconi;945
Chilly-Mazarin;822
Chinon;1783
Chirens;643
Chirongui;2134
Choisy-le-Roi;2629
Cholet;5793
Chomérac;23
Châlette-sur-Loing;1349
Châlons-en-Champagne;4951
Châlus;271
Château-Arnoux-Saint-Auban;687
Château-Chinon (Ville);184
Château-Gontier-sur-Mayenne;1983
Château-Landon;279
Château-Renard;392
Château-Renault;696
Château-Salins;282
Château-Thierry;3096
Château-la-Vallière;280
Châteaubourg;1188
Châteaubriant;2070
Châteaudun;2140
Châteaugiron;1241
Châteaulin;1657
Châteaumeillant;224
Châteauneuf-de-Galaure;918
Châteauneuf-du-Faou;402
Châteauneuf-en-Thymerais;476
Châteauneuf-la-Forêt;194
Châteauneuf-les-Martigues;864
Châteauneuf-sur-Charente;460
Châteauneuf-sur-Loire;652
Châteauponsac;176
Châteaurenard;1086
Châteauroux;5288
Châteauvillain;162
Châtel-Guyon;475
Châtel-sur-Moselle;375
Châtelaillon-Plage;672
Châtelaudren-Plouagat;669
Châtellerault;3567
Châtelus-Malvaleix;146
Châtenay-Malabry;4146
Châtenois;661
Châtenoy-le-Royal;315
Châtillon;1883
Châtillon-le-Duc;615
Châtillon-sur-Chalaronne;793
Châtillon-sur-Indre;169
Châtillon-sur-Loire;292
Châtillon-sur-Seine;819
Chèvremont;162
Chécy;735
Chénérailles;169
Chéraute;287
Ciboure;298
Cilaos;318
Cintegabelle;300
Cirey-sur-Vezouze;283
Civray;836
Civrieux-d'Azergues;332
Clairac;24
Clairvaux-les-Lacs;210
Claix;500
Clamart;3919
Clamecy;539
Clapiers;627
Clarensac;587
Claveisolles;90
Claye-Souilly;1118
Clermont;2144
Clermont-Ferrand;13962
Clermont-en-Argonne;206
Clermont-l'Hérault;2129
Clichy;3070
Clichy-sous-Bois;2440
Clisson;2575
Cloyes-les-Trois-Rivières;359
Cluny;882
Cluses;3190
Clères;508
Cléder;103
Cléon;396
Cléon-d'Andran;507
Cléry-Saint-André;488
Cocheren;390
Cognac;2722
Cognin;488
Cogolin;1166
Coignières;453
Coligny;376
Collonges-sous-Salève;442
Colmar;7498
Colombes;6144
Colombey les Deux Eglises;112
Colombey-les-Belles;469
Colomiers;2967
Combourg;1695
Combs-la-Ville;2180
Comines;880
Commentry;498
Commercy;1368
Communay;618
Compiègne;7197
Concarneau;2103
Conches-en-Ouche;593
Condat;80
Condom;536
Condrieu;867
Condé-en-Brie;346
Condé-en-Normandie;652
Condé-sur-l'Escaut;1186
Conflans-Sainte-Honorine;3564
Confolens;731
Congis-sur-Thérouanne;169
Connerré;629
Contes;787
Contrexéville;376
Conty;447
Corbas;517
Corbeil-Essonnes;5835
Corbeny;383
Corbie;656
Corbigny;238
Corcieux;190
Cordes-sur-Ciel;253
Corenc;1920
Cormeilles;399
Cormeilles-en-Parisis;2410
Cormery;480
Cormontreuil;592
Cornimont;323
Corrèze;140
Corte;652
Cosne-Cours-sur-Loire;1483
Cosne-d'Allier;209
Cossé-le-Vivien;654
Coteaux-du-Blanzacais;196
Coubert;323
Coublevie;808
Couches;326
Coucy-le-Château-Auffrique;364
Coudekerque-Branche;1160
Couilly-Pont-aux-Dames;227
Couiza;267
Coulaines;522
Coulaures;11
Coulogne;464
Couloisy;532
Coulommiers;2683
Coulonges-sur-l'Autize;442
Coulounieix-Chamiers;339
Courbevoie;6839
Courcelles-lès-Lens;522
Courdimanche;706
Cournon-d'Auvergne;2814
Courpière;543
Courrières;490
Cours;286
Coursan;697
Courseulles-sur-Mer;428
Courson-les-Carrières;275
Courtenay;522
Courtry;543
Courville-sur-Eure;645
Courçon;769
Cousolre;156
Coutances;2032
Coutras;870
Couzeix;709
Couëron;736
Cozes;507
Cransac;131
Cranves-Sales;890
Craon;302
Craponne;709
Craponne-sur-Arzon;256
Creil;3226
Crest;2120
Creully sur Seulles;379
Creutzwald;1152
Crevin;531
Criquetot-l'Esneval;813
Crochte;303
Crocq;95
Croissy-sur-Seine;464
Croix;559
Crolles;551
Crosne;1018
Crotenay;60
Crouy-sur-Ourcq;317
Crozon;649
Cruas;299
Cruseilles;790
Crèvecoeur-le-Grand;548
Crécy-en-Ponthieu;269
Crécy-la-Chapelle;750
Crécy-sur-Serre;377
Crégy-lès-Meaux;596
Créhen;369
Crémieu;823
Créon;1037
Crépy-en-Valois;2340
Créteil;8240
Cudos;127
Cuers;986
Cuffies;412
Cugnaux;2310
Cuise-la-Motte;142
Cuiseaux;245
Cuisery;466
Culoz-Béon;405
Cunlhat;87
Cusset;3315
Custines;353
Cuxac-Cabardès;330
Cysoing;1596
Cérans-Foulletourte;305
Céret;561
Cérilly;119
Dadonville;534
Dagneux;1261
Dainville;709
Dambach-la-Ville;389
Dammarie-les-Lys;2377
Dammartin-en-Goële;1181
Damparis;283
Dampierre-sur-Salon;308
Damvillers;172
Dangé-Saint-Romain;525
Danjoutin;527
Dannemarie;413
Daoulas;471
Dardilly;185
Darnétal;960
Dax;3755
Deauville;879
Decazeville;962
Dechy;421
Decize;890
Delle;494
Delme;363
Dembeni;3510
Denain;2822
Derval;339
Descartes;180
Deshaies;183
Desvres;808
Dettwiller;242
Deuil-la-Barre;2358
Deux-Grosnes;191
Die;716
Diemeringen;260
Dieppe;4059
Dieulefit;343
Dieulouard;479
Dieuze;832
Digne-les-Bains;2549
Digoin;935
Dijon;17283
Dinan;3895
Dinard;749
Dives-sur-Mer;331
Divion;381
Divonne-les-Bains;524
Dol-de-Bretagne;1614
Dole;4022
Domart-en-Ponthieu;396
Dombasle-sur-Meurthe;725
Domfront en Poiraie;701
Dommartemont;358
Domont;2193
Dompaire;384
Dompierre-sur-Besbre;367
Dompierre-sur-Mer;800
Domène;663
Domérat;367
Donnemarie-Dontilly;465
Donzy;126
Dormans;404
Dornes;125
Douai;7362
Douarnenez;1279
Doubs;645
Douchy-les-Mines;623
Doudeville;374
Doulaincourt-Saucourt;216
Doullens;1357
Dourdan;2835
Dourges;578
Douvaine;1075
Douvres-la-Délivrande;1619
Douvrin;629
Douzy;341
Doué-en-Anjou;813
Doyet;147
Dozulé;317
Draguignan;3205
Drancy;6361
Drap;768
Draveil;1773
Dreux;5857
Drulingen;349
Drumettaz-Clarafond;579
Drusenheim;479
Ducey-Les Chéris;293
Duclair;655
Ducos;1529
Dugny;822
Dumbea;3276
Dun-le-Palestel;206
Dun-sur-Auron;351
Dunières;170
Dunkerque;8748
Duras;195
Durtal;326
Duttlenheim;475
Dzaoudzi;1870
Décines-Charpieu;3461
Déols;456
Désertines;498
Déville-lès-Rouen;1780
Eaubonne;2186
Eauze;350
Echenon;364
Echirolles;2594
Eckbolsheim;454
Ecommoy;489
Ecouché-les-Vallées;254
Ecouen;976
Ecquevilly;483
Ecueillé;88
Ecully;1213
Egletons;571
Eguzon-Chantôme;186
Einville-au-Jard;234
Elancourt;1044
Elbeuf;3636
Elne;1019
Eloyes;368
Elven;1027
Embrun;958
Emerainville;348
Enghien-les-Bains;3547
Ensisheim;724
Entre-Deux;413
Entre-deux-Guiers;288
Entrelacs;458
Epernay;3558
Epernon;492
Epinac;139
Epinal;5176
Epinay-sous-Sénart;1336
Epinay-sur-Orge;659
Epinay-sur-Seine;4315
Epouville;571
Epône;657
Eragny;991
Ermont;2737
Ernée;505
Erquy;140
Erstein;1623
Ervy-le-Châtel;234
Esbly;705
Escalquens;675
Escaudain;503
Escautpont;259
Eschau;709
Espalion;729
Espaly-Saint-Marcel;20
